original_title,genre_ids,popularity,vote_average,vote_count,year
Harry Potter and the Deathly Hallows: Part 1,"[12, 14, 10751]",33.533,7.7,10788,2010
How to Train Your Dragon,"[14, 12, 16, 10751]",28.734,7.7,7610,2010
Iron Man 2,"[12, 28, 878]",28.515,6.8,12368,2010
Toy Story,"[16, 35, 10751]",28.005,7.9,10174,1995
Inception,"[28, 878, 12]",27.92,8.3,22186,2010
Percy Jackson & the Olympians: The Lightning Thief,"[12, 14, 10751]",26.691,6.1,4229,2010
Avatar,"[28, 12, 14, 878]",26.526,7.4,18676,2009
Toy Story 3,"[16, 10751, 35]",24.445,7.7,8340,2010
Despicable Me,"[16, 10751, 35]",23.673,7.2,10057,2010
Megamind,"[16, 28, 35, 10751, 878]",22.855,6.8,3635,2010
Toy Story 2,"[16, 35, 10751]",22.698,7.5,7553,1999
Alice in Wonderland,"[10751, 14, 12]",22.02,6.6,8713,2010
The Expendables,"[53, 12, 28]",21.517,6.1,4647,2010
Tangled,"[16, 10751]",21.511,7.5,6407,2010
Saw 3D,"[27, 80]",20.37,6.0,1488,2010
The Twilight Saga: Eclipse,"[12, 14, 18, 10749]",20.34,6.0,4909,2010
The Book of Eli,"[28, 53, 878]",18.985,6.7,3495,2010
LelleBelle,"[10402, 10749]",18.586,4.5,36,2010
The Bourne Supremacy,"[28, 18, 53]",18.199,7.3,4367,2004
Shutter Island,"[18, 53, 9648]",18.06,8.1,12625,2010
The Bourne Identity,"[28, 18, 9648, 53]",17.935,7.4,5406,2002
Knight and Day,"[28, 35]",17.713,6.0,2494,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,"[12, 10751, 14]",17.382,6.3,3196,2010
Step Up 3D,"[18, 10749]",17.174,6.7,1160,2010
The A-Team,"[53, 28, 12, 35, 80]",17.097,6.3,2703,2010
The King's Speech,"[18, 36]",16.798,7.7,5013,2010
Bad Boys,"[28, 35, 80, 53]",16.608,6.6,2936,1995
The Last Airbender,"[28, 12, 10751, 14]",16.595,4.6,2143,2010
Predators,"[28, 878, 12, 53]",16.216,6.1,1979,2010
The Social Network,[18],15.889,7.2,6116,2010
Undisputed III: Redemption,"[28, 53]",15.886,7.4,302,2010
Apollo 13,"[18, 36]",15.855,7.4,2821,1995
Armageddon,"[28, 53, 878, 12]",15.799,6.7,4267,1998
The Bourne Ultimatum,"[28, 18, 9648, 53]",15.62,7.4,4440,2007
Clash of the Titans,"[12, 14, 28]",15.574,5.7,3714,2010
The Back-Up Plan,"[35, 10749]",15.49,6.0,806,2010
Robin Hood,"[28, 12, 18]",15.444,6.3,2569,2010
Nanny McPhee and the Big Bang,"[35, 14, 10751]",15.213,6.1,953,2010
Shrek Forever After,"[35, 12, 14, 16, 10751]",15.041,6.1,3843,2010
Easy A,[35],14.69,6.8,4168,2010
The Sorcerer's Apprentice,"[14, 12, 28, 35, 18]",14.463,5.9,2879,2010
Scott Pilgrim vs. the World,"[28, 35, 10749]",14.383,7.3,3882,2010
Grown Ups,[35],14.291,6.1,3171,2010
Some Like It Hot,"[35, 10749]",14.2,8.2,1562,1959
Faster,"[80, 18, 28, 53]",14.172,6.2,895,2010
The Wolfman,[27],14.03,5.7,1009,2010
Unstoppable,"[28, 53]",14.01,6.4,1913,2010
Black Swan,"[18, 53]",13.745,7.6,8374,2010
Tinker Bell and the Great Fairy Rescue,"[16, 12, 10751, 14]",13.724,6.5,451,2010
Tres metros sobre el cielo,"[10749, 18]",13.721,7.5,960,2010
Centurion,"[12, 28, 18]",13.548,6.1,673,2010
The Other Guys,"[28, 35, 80]",13.508,6.2,2187,2010
The Town,"[80, 18, 53]",13.476,7.1,2386,2010
Jonah Hex,"[28, 37, 18, 14, 53]",13.467,4.6,708,2010
TRON: Legacy,"[12, 28, 878]",13.459,6.3,4387,2010
Prince of Persia: The Sands of Time,"[12, 14, 28, 10749]",13.44,6.2,4040,2010
The Great Mouse Detective,"[35, 16, 10751]",13.348,7.1,769,1986
The Lovely Bones,"[14, 18]",13.285,6.8,2226,2010
All About Eve,[18],13.163,8.2,685,2000
True Grit,"[18, 12, 37]",13.118,7.2,2816,2010
I Spit on Your Grave,"[53, 80, 27]",13.102,6.3,977,2010
